STATION,LINENAME,ENTRIES,EXITS,,
1 AV,L,1139,1923.857143,,
103 ST,1,838,781.8571429,,
103 ST,6,1733.428571,2272.714286,,
103 ST,BC,351.5714286,355.2857143,,
103 ST-CORONA,7,1973.285714,2162.142857,,
104 ST,A,135.2857143,71.28571429,,
104 ST,JZ,260.4285714,151.4285714,,
110 ST,6,1162.285714,1791,,
111 ST,7,1143,952.5714286,,
111 ST,A,239.2857143,107.7142857,,
111 ST,J,192.7142857,144.7142857,,
116 ST,6,1747.285714,2150.714286,,
116 ST,BC,567.1428571,851.2857143,,
116 ST,23,1039.857143,1092.714286,,
116 ST-COLUMBIA,1,485.4285714,444.2857143,,
121 ST,JZ,263,210,,
125 ST,1,586.2857143,955.5714286,,
125 ST,23,917.8571429,1454.428571,,
125 ST,456,3951.142857,6139.857143,,
125 ST,ACBD,3009.714286,3956.571429,,
135 ST,23,1689.142857,1179.142857,,
135 ST,BC,387,511.1428571,,
137 ST CITY COL,1,1071.142857,1536.571429,,
138/GRAND CONC,45,475.2857143,607.8571429,,
14 ST,ACEL,621.4285714,809.1428571,,
14 ST,123FLM,764.1428571,777.1428571,,
14 ST,FLM123,528.7142857,1049.571429,,
14 ST-UNION SQ,LNQR456W,2680.285714,3574.428571,,
14 ST-UNION SQ,456LNQRW,2690.571429,3221,,
145 ST,1,963.1428571,1292.428571,,
145 ST,3,322.8571429,89.85714286,,
145 ST,ABCD,2310.714286,3019.285714,,
149/GRAND CONC,245,1933,2095.714286,,
14TH STREET,1,403.4285714,759.1428571,,
15 ST-PROSPECT,FG,263.1428571,224.2857143,,
155 ST,BD,678.4285714,554.2857143,,
155 ST,C,265.8571429,352.4285714,,
157 ST,1,1127,1192.857143,,
161/YANKEE STAD,4BD,1249,717.5714286,,
161/YANKEE STAD,BD4,1416.428571,824.1428571,,
163 ST-AMSTERDM,C,433.8571429,738.7142857,,
167 ST,BD,725.1428571,969.1428571,,
167 ST,4,1502.571429,1984.857143,,
168 ST,1AC,1263.571429,1610.571429,,
168 ST,AC1,1103.428571,562.7142857,,
169 ST,F,537.8571429,890,,
170 ST,4,1202.142857,1566.857143,,
170 ST,BD,948.8571429,763.8571429,,
174 ST,25,581.5714286,1141.428571,,
174-175 STS,BD,828.7142857,677.1428571,,
175 ST,A,833,771.4285714,,
176 ST,4,965.1428571,1050.285714,,
18 AV,D,487.5714286,171,,
18 AV,F,400.4285714,401.8571429,,
18 AV,N,384.4285714,201,,
18 ST,1,192.5714286,243.5714286,,
181 ST,1,1460.571429,2287,,
181 ST,A,598.5714286,887.2857143,,
182-183 STS,BD,109.5714286,583,,
183 ST,4,1052.714286,857.1428571,,
190 ST,A,-29.42857143,-91.85714286,,
191 ST,1,155.4285714,215.5714286,,
,,,,,
20 AV,D,419.8571429,162.8571429,,
20 AV,N,220.8571429,223.5714286,,
207 ST,1,832.4285714,761,,
21 ST,G,160.8571429,237.8571429,,
21 ST-QNSBRIDGE,F,1000.428571,1150.714286,,
215 ST,1,185.8571429,116.4285714,,
219 ST,25,500.1428571,435.1428571,,
225 ST,25,614.1428571,348.4285714,,
23 ST,NRW,588.4285714,562.5714286,,
23 ST,FM,870.7142857,1302,,
23 ST,CE,1026.714286,979.8571429,,
23 ST,6,1064,1348.714286,,
23 ST,1,724.4285714,882,,
231 ST,1,885,194.5714286,,
233 ST,25,794.1428571,473.2857143,,
238 ST,1,445.4285714,78.85714286,,
25 AV,D,344,138,,
25 ST,R,410.7142857,557.1428571,,
28 ST,1,449.2857143,544.4285714,,
28 ST,6,1213.285714,1785.714286,,
28 ST,NRW,271.8571429,475,,
3 AV,L,453.1428571,479.8571429,,
3 AV 138 ST,6,618.2857143,362.8571429,,
3 AV-149 ST,25,2458.714286,1455.428571,,
30 AV,NQW,851.5714286,941.4285714,,
33 ST,6,1582,1838,,
33 ST-RAWSON ST,7,350.4285714,472,,
34 ST-HERALD SQ,BDFMNQRW,3692,5489.571429,1846,2744.785714
34 ST-HUDSON YD,7,691.4285714,829,,
34 ST-PENN STA,123,1010.571429,1868.428571,,
34 ST-PENN STA,123ACE,2043.142857,2639.714286,4830.142857,7188
34 ST-PENN STA,ACE,2787,4548.285714,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
61 ST WOODSIDE,7,1003.571429,1033.428571,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
9TH STREET,1,159.1428571,303.2857143,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
B'WAY-LAFAYETTE,BDFQ6,499.8571429,1220.857143,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CITY / BUS,1,443.2857143,673.8571429,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
EXCHANGE PLACE,1,517,892,,
,,,,,
FLATBUSH AV-B.C,25,2119.142857,1957.285714,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
GROVE STREET,1,670.8571429,1102,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
HARRISON,1,346.5714286,583.8571429,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
JFK JAMAICA CT1,E,547,233.2857143,,
JKSN HT-ROOSVLT,EFMR7,3812.714286,3376.571429,,
JOURNAL SQUARE,1,2280,2377,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
LACKAWANNA,1,169.8571429,351.7142857,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
NEWARK BM BW,1,1500.714286,394,,
NEWARK C,1,298,192.8571429,,
NEWARK HM HE,1,0,2137.857143,,
NEWARK HW BMEBE,1,172.4285714,476.1428571,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
PATH NEW WTC,1,2118,2468.857143,,
PATH WTC 2,1,339.2857143,683.2857143,,
PAVONIA/NEWPORT,1,351.8571429,577.1428571,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
RIT-MANHATTAN,R,-37990.71429,-425.2857143,,
RIT-ROOSEVELT,R,421.7142857,59.14285714,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ST. GEORGE,1,615.8571429,0,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
THIRTY ST,1,3.857142857,209.4285714,,
THIRTY THIRD ST,1,1328.714286,917.4285714,,
,,,,,
,,,,,
,,,,,
TOMPKINSVILLE,1,100.7142857,0,,
,,,,,
TWENTY THIRD ST,1,280.5714286,559.2857143,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
WTC-CORTLANDT,1,325.2857143,390.1428571,,